year,kind,rating,vote,runtime,genre1,country1,language1,cast1,cast2,director1,writer1
2005.0,7,2.2,75.0,44.0,0,62,16,210,4830,2360,2879
1969.0,1,7.6,8868.0,60.0,4,61,16,3013,4796,3475,3441
1979.0,1,7.6,450.0,93.0,6,62,16,1974,1294,2843,5105
2003.0,4,6.1,76.0,93.0,2,37,33,5042,983,4207,2635
1960.0,7,unknown,165.0,114.0,2,67,16,2009,5897,3501,3597
1998.0,1,6.3,559.0,95.0,7,10,16,3334,3356,2672,5013
1988.0,1,5.2,8667.0,96.0,4,4,16,5005,4265,4152,5033
2003.0,3,5.1,283.0,83.0,5,10,16,1031,1998,601,621
1980.0,0,unknown,176.5,175.0,5,67,64,1665,5897,4207,5105
1999.0,4,7.5,2029.0,57.0,19,62,16,3534,573,4207,4020
2004.0,7,unknown,165.0,140.0,8,61,16,2947,3025,2405,2665
2005.0,7,5.5,86.0,182.0,6,62,16,4817,5735,2669,5105
1995.0,1,7.5,9557.0,97.0,4,30,26,4860,64,3214,1705
1996.0,0,8.1,190.0,90.0,5,61,16,1246,3920,3298,800
1999.0,1,6.9,1777.0,105.0,4,10,16,2903,5378,153,4830
1963.0,1,8.4,39523.0,40.0,5,37,33,4808,5382,69,1808
2002.0,1,4.5,1149.0,98.0,0,23,20,3615,98,2111,4576
2003.0,7,8.8,30.0,94.0,6,62,16,4142,2796,2591,5105
1997.0,4,6.5,37.0,92.0,2,37,33,1640,225,4207,4301
1983.0,1,6.7,4735.0,6.0,0,27,7,4249,2770,3530,4268
1905.0,1,unknown,3408.0,72.0,6,62,41,5069,5897,4207,5105
1959.0,4,9.0,75773.0,14.0,7,62,64,4113,4779,4207,4124
1974.0,3,7.9,2000.0,115.0,7,62,16,939,1652,1959,4827
1996.0,1,6.8,941.0,98.0,2,37,33,1891,3191,2965,3594
1986.0,1,6.4,1739.0,88.0,3,62,16,3991,1348,3289,4119
1998.0,1,5.9,5760.0,32.0,7,62,16,3211,3974,792,934
1995.0,1,7.1,5444.0,95.0,5,23,39,1755,465,4170,1433
1983.0,3,7.6,3019.0,89.0,7,62,16,1787,1028,1795,1948
2001.0,7,unknown,165.0,86.0,14,62,16,3327,2502,1823,748
1974.0,1,5.9,1536.0,240.0,13,61,16,439,4347,3068,1047
2001.0,0,unknown,176.5,30.0,2,62,16,3407,512,2310,3379
1943.0,1,6.3,596.0,110.0,18,62,16,3926,1575,4053,4421
1976.0,4,3.8,406.0,90.0,4,62,16,1561,4791,4207,4521
2001.0,4,6.9,26259.0,113.0,4,62,16,1054,5495,4207,1177
1992.0,7,7.8,213.0,94.0,14,61,16,3474,1121,3276,5105
2000.0,1,5.8,2477.0,30.0,0,27,7,4788,1570,1858,4595
1967.0,1,7.0,9899.0,95.0,13,61,16,2066,279,3492,3536
2005.0,3,6.8,184.0,360.0,2,62,16,1210,3679,2180,2300
1998.0,7,unknown,165.0,60.0,4,62,16,1256,2016,4207,5105
2004.0,7,4.3,6.0,109.0,5,62,16,191,1718,2713,5105
1967.0,1,6.1,2702.0,93.0,9,61,16,2011,771,1246,4026
1993.0,1,7.4,13279.0,103.0,4,4,16,3535,1054,3456,4148
1980.0,0,6.5,361.0,91.0,1,61,16,4743,3251,2421,1013
2003.0,4,7.3,409.0,103.0,2,10,16,1026,3901,4207,1880
2002.0,1,6.2,1615.0,24.0,4,55,54,2885,4884,814,958
1999.0,1,2.0,2655.0,88.0,4,62,16,441,4609,4046,4887
1971.0,1,6.8,2192.0,102.0,4,65,32,2965,1527,3201,3861
2003.0,1,6.0,155.0,95.0,2,10,16,3588,2843,3469,541
1993.0,1,7.7,27102.0,160.0,5,30,26,4339,2974,32,4113
2002.0,3,7.0,152.0,109.0,6,62,16,4057,469,3121,1166
2002.0,3,5.7,354.0,100.0,6,62,16,388,5729,3673,5105
1992.0,2,7.4,2535.0,101.0,3,10,16,647,3961,4207,2522
1990.0,0,7.3,449.0,93.0,4,62,16,4809,2668,1835,2290
1994.0,3,6.6,468.0,90.0,0,62,16,2692,620,2538,3261
2004.0,1,7.7,21534.0,30.0,7,61,16,1448,2312,3633,225
2003.0,7,7.7,29.0,92.0,14,61,16,2548,965,4207,5105
1999.0,7,5.8,124.0,91.0,20,62,16,4018,5897,2912,5105
1977.0,1,6.5,232.0,24.0,0,58,39,2315,1745,1856,2940
1905.0,1,unknown,3408.0,120.0,6,62,41,5069,5897,4207,5105
2001.0,1,6.4,4106.0,100.0,4,62,16,894,5464,648,765
2005.0,7,unknown,165.0,110.0,6,62,16,4190,5131,4207,5105
2002.0,1,7.9,2581.0,84.0,6,62,16,4967,5067,349,3209
1980.0,1,4.6,17.0,105.0,0,27,39,2901,5830,4156,5105
2003.0,1,7.2,33.0,107.0,7,62,16,3869,3511,1996,2414
1991.0,1,5.7,6796.0,60.0,4,62,16,2725,1595,2203,560
2000.0,1,8.1,136327.0,63.0,7,27,7,3011,5557,2143,2593
1965.0,1,7.6,8157.0,80.0,4,16,10,1820,5718,2809,3391
1990.0,7,7.1,34.0,89.0,20,62,16,3348,4037,1774,5105
2000.0,1,6.4,2176.0,101.0,4,4,16,1187,5334,2040,2468
1951.0,1,5.9,491.0,112.0,25,62,16,4153,4646,2382,951
1995.0,3,5.0,508.0,90.0,19,10,16,3136,5266,2051,3299
1994.0,1,6.6,1961.0,105.0,5,55,54,751,4918,1574,1892
2003.0,3,6.8,248.0,44.0,6,62,16,4067,2711,2554,1284
2003.0,7,unknown,165.0,243.0,6,62,16,3825,1385,4207,5105
2004.0,0,unknown,176.5,118.0,8,67,64,1731,5588,1923,2922
1992.0,1,6.6,41054.0,98.0,7,62,16,319,4601,752,211
2001.0,3,7.6,444.0,91.0,2,62,16,2398,5897,3171,1574
1978.0,1,6.9,18314.0,94.0,7,62,16,1669,3923,2693,3277
2002.0,4,unknown,1513.0,150.0,15,30,16,5069,5897,4207,5105
1997.0,4,8.1,8294.0,74.0,2,62,16,2684,4671,4207,4764
1993.0,1,6.0,943.0,90.0,18,10,16,4189,1003,28,45
2004.0,2,7.6,177.0,83.0,6,62,16,3285,499,4207,1103
1998.0,2,7.5,71.0,85.0,6,62,16,287,2557,4207,5105
1993.0,4,8.6,12130.0,30.0,5,62,16,3965,1065,4207,3651
1987.0,3,6.9,152.0,105.0,5,61,16,1856,2094,1943,4674
1988.0,3,4.9,157.0,100.0,7,62,16,2955,2661,654,2308
2003.0,3,6.3,5187.0,73.0,0,62,16,3325,4861,4191,4744
1989.0,1,7.5,26201.0,105.0,6,62,16,3330,4834,2736,3311
1994.0,1,5.5,2172.0,22.0,1,41,16,1621,2134,1256,1514
1992.0,4,8.4,12573.0,103.0,2,67,64,3596,2954,4207,1824
1959.0,1,6.3,798.0,112.0,4,61,16,4648,4475,3490,2160
1991.0,1,6.3,31473.0,56.0,4,62,16,898,2640,3708,3499
1987.0,1,7.4,13238.0,89.0,4,65,16,3077,785,3061,1311
1992.0,1,7.1,9743.0,112.0,7,23,20,780,5685,3504,1385
1997.0,7,7.6,23.0,103.0,6,62,16,1384,2732,4207,5105
1999.0,1,6.1,1102.0,60.0,7,62,16,2909,2050,3969,300
2002.0,3,5.9,1046.0,100.0,0,62,16,15,4841,1394,3826
1994.0,1,6.7,1678.0,81.0,4,61,31,3277,2636,1954,1860
1998.0,1,5.5,337.0,88.0,23,27,7,1408,2825,1858,4350
1983.0,1,4.7,1725.0,82.0,0,58,39,2016,722,4169,1856
1996.0,4,7.4,320.0,86.0,0,67,16,3243,5835,4207,4301
2004.0,3,6.3,19356.0,92.0,0,62,16,3575,5206,3134,1051
1978.0,1,7.7,243607.0,171.0,13,62,16,1322,2399,1912,2325
1987.0,4,8.6,108089.0,90.0,0,62,16,3680,2811,4207,1563
1984.0,4,7.5,1375.0,91.0,2,37,33,4597,3244,4207,350
2001.0,1,6.1,49504.0,778.0,0,62,16,4058,1548,1949,2361
1996.0,1,5.0,33285.0,207.0,0,4,16,553,3219,3660,2858
2003.0,1,8.0,3701.0,165.0,6,62,16,4012,5544,1822,5105
1958.0,1,5.2,3934.0,125.0,13,61,16,1566,3299,3190,2251
1996.0,1,7.2,271.0,25.0,6,62,16,1301,3686,3192,5105
1998.0,7,7.1,24.0,90.0,6,62,16,1750,5897,2823,3412
2001.0,1,7.1,3536.0,88.0,4,4,16,3574,1622,3280,3961
1997.0,0,7.9,115.0,105.0,6,62,16,4536,3564,2658,3493
1943.0,1,7.1,4413.0,60.0,16,62,16,458,4225,3493,446
2004.0,7,4.2,264.0,142.0,2,62,16,2562,5294,2789,2151
1966.0,1,7.2,8319.0,115.0,0,37,33,4652,948,3591,5043
1972.0,1,6.5,1282.0,80.0,7,23,20,710,2494,307,397
1991.0,1,7.8,132759.0,30.0,5,62,16,1913,3433,1994,2412
1995.0,1,6.9,1701.0,92.0,7,23,20,4914,536,338,2566
2000.0,3,8.2,80.0,52.0,6,62,16,1309,2813,2335,1170
2003.0,0,6.5,8.0,90.0,6,67,64,3867,4192,1685,5105
2003.0,7,unknown,165.0,94.0,26,62,64,2119,5223,3677,4460
1997.0,7,7.2,23.0,82.0,26,67,64,5069,5897,4207,5105
1959.0,1,7.0,3722.0,138.0,7,61,16,3968,1055,3982,2391
1971.0,1,3.6,2021.0,98.0,13,62,16,1985,3440,73,5002
2001.0,3,6.9,167.0,22.0,4,61,16,1371,5014,964,1927
1928.0,1,7.6,3417.0,95.0,18,24,41,4175,1937,1253,4696
1944.0,1,7.3,5042.0,25.0,5,62,16,458,4225,3493,1272
1960.0,1,7.7,29391.0,33.0,7,23,20,3830,203,1346,2104
1959.0,1,7.0,8598.0,107.0,4,61,16,3790,2478,1611,4137
2000.0,0,7.7,157.0,99.0,6,62,16,1691,4445,3413,4102
1995.0,2,6.4,240.0,98.0,2,37,16,3956,3185,4207,4643
1959.0,1,7.5,2736.0,60.0,5,61,16,2426,2202,1601,3572
2001.0,1,7.9,361.0,180.0,6,24,16,714,288,924,2617
2005.0,7,2.3,440.0,90.0,0,62,16,1064,2076,692,809
1983.0,1,8.2,3524.0,113.0,6,62,16,522,5897,361,460
